Client_id,Parent,Race,Employed,Adults,Children,Income,NofCases,Age,Score,Days,English,Gender,Primary,Transportation,Services,Dropout
79,Two parent family,Other,Yes,2,1,22320,3,49,75,267,Not Well,Female,Portuguese,Yes,80,No
98,Two parent family,Refused,Yes,2,1,11752,3,38,155,267,,Female,Other,No,60,No
119,Two parent family,Other,Yes,2,2,21397,4,41,175,7,,Female,Albanian,No,3,No
147,Single parent (mother figure only),Hispanic/Latino,Yes,1,2,21660,3,42,170,144,Not Well,Female,Spanish,Yes,20,Yes
158,Single parent (mother figure only),White,No,1,3,0,4,40,180,233,,Female,English,Yes,12,No
166,Two parent family,White,Yes,2,2,23400,4,36,415,247,Very Well,Female,English,Yes,80,No
176,Single parent (mother figure only),Hispanic/Latino,Yes,1,1,12437,2,34,190,276,Not Well,Female,Spanish,No,68,No
207,Two parent family,Black or African American,Yes,2,3,18330,5,48,180,244,,Female,Tigrinya,Yes,210,No
230,Two parent family,Black or African American,Yes,2,3,24079,5,46,180,281,Very Well,Female,Creole,Yes,177,No
265,Two parent family,Asian,Yes,2,3,14896,5,63,180,267,Well,Male,Bengali,Yes,19,No
278,Single parent (mother figure only),Hispanic/Latino,Yes,1,2,11825,3,38,180,171,Not Well,Female,Spanish,Yes,44,No
283,Two parent family,Black or African American,Yes,2,2,20761,4,40,290,43,,Male,Creole,No,33,No
304,Two parent family,Black or African American,Yes,2,4,16000,6,64,150,260,,Male,Somali,Yes,13,No
305,Single parent (mother figure only),Black or African American,Yes,1,3,36000,4,42,200,7,Very Well,Female,Somali,Yes,3,No
325,Two parent family,Black or African American,No,2,2,0,4,47,90,262,Well,Male,Amharic,Yes,233,No
326,Single parent (mother figure only),Hispanic/Latino,Yes,1,3,48250,4,36,35,267,,Female,English,Yes,32,No
327,Two parent family,Other,Yes,2,1,18200,3,42,235,339,Well,Female,Portuguese,No,276,No
365,Two parent family,Black or African American,No,2,2,0,4,51,85,262,Well,Female,Other,Yes,126,No
426,Single parent (mother figure only),Hispanic/Latino,Yes,1,3,22880,4,37,280,339,Not Well,Female,Spanish,Yes,236,No
440,Two parent family,Other,Yes,2,1,28028,3,55,175,267,Not Well,Female,Portuguese,Yes,152,No
446,Single parent (mother figure only),Hispanic/Latino,Yes,2,1,20111,3,39,55,350,Very Well,Female,English,Yes,68,No
462,Two parent family,Black or African American,Yes,2,3,14775,5,39,275,235,Very Well,Female,Amharic,Yes,6,Yes
474,Single parent (mother figure only),White,Yes,1,3,11784,4,42,410,35,,Female,English,Yes,23,Yes
490,Single parent (mother figure only),Hispanic/Latino,Yes,1,2,12106,3,35,230,267,Well,Female,Spanish,Yes,108,No
507,Single parent (mother figure only),Black or African American,Yes,1,4,44100,5,53,170,267,,Female,Somali,Yes,135,No
517,Two parent family,Asian,Yes,2,2,17680,4,47,180,267,Very Well,Male,Punjabi,Yes,132,No
524,Two parent family,Hispanic/Latino,Yes,2,2,19710,4,38,145,267,,Female,Spanish,No,40,No
525,Two parent family,Black or African American,Yes,2,5,16808,7,45,235,174,,Female,Arabic,Yes,126,Yes
528,Single parent (mother figure only) living w/partner,Hispanic/Latino,Yes,2,2,31800,4,37,240,276,,Female,Spanish,Yes,120,No
535,Two parent family,Asian,Yes,2,3,34560,5,42,10,267,,Male,Chinese,Yes,218,No
536,Single parent (father figure only) living w/partner,White,Yes,1,3,15600,4,38,540,147,Very Well,Female,Portuguese,Yes,80,No
545,Two parent family,Black or African American,Yes,1,3,25234,4,52,45,256,,Female,Amharic,No,184,Yes
562,Two parent family,Asian,Yes,2,1,13840,3,49,180,92,,Male,Other,No,68,Yes
567,Single parent (mother figure only),Black or African American,Yes,2,2,21162,4,44,160,265,,Female,Other,Yes,232,No
571,Two parent family,White,Yes,2,4,13914,6,58,385,41,Very Well,Male,English,Yes,34,No
584,Single parent (mother figure only),White,Yes,1,3,11271,4,43,180,267,Not Well,Female,Spanish,No,240,No
593,Single parent (mother figure only),Black or African American,Yes,2,2,21972,4,36,200,12,,Female,Creole,Yes,4,No
598,Single parent (mother figure only),White,No,1,5,0,6,38,235,70,Very Well,Female,English,Yes,51,Yes
601,Two parent family,Asian,Yes,2,2,23001,4,53,145,342,Well,Male,Bengali,Yes,80,No
626,Two parent family,Asian,Yes,2,1,16000,3,45,175,161,Very Well,Female,Chinese,Yes,36,Yes
645,Two parent family,Black or African American,No,2,4,0,6,46,155,267,,Female,Arabic,Yes,248,No
677,Single parent (mother figure only),White,No,1,4,0,5,38,220,59,,Female,English,No,44,No
682,Single parent (mother figure only),Other,Yes,1,1,14560,2,47,165,265,Very Well,Female,Arabic,Yes,225,No
